label,finalScore,finalCash,buildingsPlaced,tilesUsed,serviceShare,housingShare,commercialShare,cashReserve,housingSizeBias,industryAppetite,damPolicy,drainagePolicy,olympicsIntent,slumUpgrades,expansionTiming,twistOrder,treasureTile,treasureHit,preparedFlood,pandemicMet,olympicsQualified,industryPowerShare,industryWaterShare
random,-39,12.0,89,89,0.361,0.258,0.374,0.007,medium,none,after-flood,partial,ignore,2,year0,flood|pandemic|immigration,7,15,false,true,false,false,0.000,0.000
random,715,10.3,118,118,0.390,0.309,0.284,0.016,large,large,after-flood,partial,committed,1,late,flood|immigration|pandemic,1,13,true,true,false,true,0.000,0.083
random,-1451,6.0,93,93,0.478,0.370,0.107,0.045,medium,medium,never,full,ignore,1,spread,pandemic|flood|immigration,8,8,false,true,false,false,0.000,0.045
random,410,0.5,98,98,0.414,0.252,0.220,0.114,large,large,never,partial,ignore,3,spread,pandemic|flood|immigration,8,13,true,true,false,false,0.000,0.000
random,1931,31.5,124,124,0.517,0.224,0.205,0.054,large,small,never,full,committed,3,late,pandemic|flood|immigration,3,14,false,true,true,true,0.000,0.167
random,90,73.3,119,119,0.367,0.215,0.280,0.138,mixed,none,never,full,committed,0,spread,immigration|flood|pandemic,1,0,false,true,false,true,0.000,0.000
random,556,35.0,97,97,0.476,0.293,0.163,0.068,medium,large,never,full,ignore,4,year0,pandemic|immigration|flood,4,2,true,true,false,false,0.000,0.000
random,-2063,3.5,89,89,0.453,0.415,0.091,0.041,mixed,none,early,full,ignore,0,spread,pandemic|immigration|flood,9,15,false,true,false,false,0.000,0.000
random,712,141.5,114,114,0.384,0.241,0.131,0.244,medium,none,after-flood,full,opportunistic,0,late,immigration|pandemic|flood,3,4,true,true,false,true,0.000,0.000
random,569,195.8,76,76,0.307,0.331,0.187,0.175,large,large,never,none,committed,4,late,immigration|pandemic|flood,7,6,false,false,true,false,0.000,0.000
random,1496,138.0,98,98,0.377,0.254,0.211,0.158,small,large,early,none,committed,0,late,pandemic|immigration|flood,1,9,true,true,false,true,0.000,0.063
random,-239,146.5,98,98,0.305,0.454,0.061,0.180,small,none,early,partial,ignore,2,year0,immigration|pandemic|flood,10,0,false,true,false,false,0.000,0.000
random,2394,27.0,142,142,0.477,0.132,0.271,0.120,small,none,after-flood,full,committed,1,spread,pandemic|immigration|flood,4,14,true,true,false,true,0.000,0.000
random,1363,121.8,118,118,0.422,0.136,0.191,0.252,medium,small,after-flood,full,opportunistic,0,year0,flood|pandemic|immigration,7,5,true,true,false,true,0.000,0.000
random,1012,159.0,107,107,0.381,0.127,0.184,0.308,large,medium,after-flood,full,opportunistic,0,spread,immigration|flood|pandemic,7,2,true,true,false,true,0.000,0.103
random,220,17.3,105,105,0.254,0.390,0.103,0.253,mixed,none,early,partial,ignore,1,late,pandemic|flood|immigration,7,12,true,true,false,false,0.000,0.000
random,1170,159.5,91,91,0.328,0.045,0.446,0.181,small,medium,after-flood,none,committed,2,spread,flood|immigration|pandemic,3,7,true,true,false,true,0.000,0.103
random,1948,114.0,130,130,0.433,0.116,0.344,0.107,mixed,none,never,partial,opportunistic,4,year0,immigration|flood|pandemic,3,2,true,true,false,true,0.000,0.000
random,-336,82.8,127,127,0.240,0.234,0.319,0.207,small,small,never,full,committed,0,spread,immigration|flood|pandemic,7,3,true,true,false,true,0.000,0.080
random,1774,1085.0,91,91,0.564,0.019,0.360,0.057,large,small,after-flood,none,committed,1,spread,flood|pandemic|immigration,9,0,false,true,false,true,0.133,0.083
